time (year), hare, lynx
1845,28000,546
1846,25000,1033
1847,25000,2129
1848,25000,2536
1849,12000,957
1850,26000,361
1851,53000,377
1852,80000,225
1853,80000,360
1854,90000,731
1855,69000,1638
1856,81000,2725
1857,95000,2871
1858,71000,2119
1859,28000,684
1860,18000,299
1861,19000,236
1862,40000,245
1863,5000,552
1864,152000,1623
1865,145000,3311
1866,105000,6721
1867,45000,4245
1868,22000,687
1869,2000,255
1870,3000,473
1871,8000,358
1872,7000,784
1873,62000,1594
1874,50000,1676
1875,51000,2251
1876,105000,1426
1877,88000,756
1878,64000,299
1879,19000,201
1880,10000,229
1881,16000,469
1882,15000,736
1883,15000,2042
1884,45000,2811
1885,54000,4431
1886,138000,2511
1887,139000,389
1888,95000,73
1889,38000,39
1890,25000,49
1891,52000,59
1892,56000,188
1893,66000,377
1894,62000,1292
1895,80000,4031
1896,95000,3495
1897,58000,587
1898,20000,105
1899,5000,153
1900,2000,387
1901,18000,758
1902,1000,1307
1903,6000,3465
1904,45000,6991
1905,50000,6313
1906,20000,3794
1907,20000,1836
1908,22000,345
1909,27000,382
1910,50000,808
1911,55000,1388
1912,78000,2713
1913,70000,3800
1914,59000,3091
1915,28000,2985
1916,20000,3790
1917,15000,674
1918,15000,81
1919,25000,80
1920,35000,108
1921,65000,229
1922,78000,399
1923,82000,1132
1924,65000,2432
1925,26000,3574
1926,15000,2935
1927,10000,1537
1928,1000,529
1929,2000,485
1930,3000,662
1931,22000,1000
1932,75000,1590
1933,95000,2657
1934,78000,3396
