time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml)
0.00,1.63,0.60,1.33,0.80,0.00
1.00,0.80,0.40,1.00,0.40,0.00
2.00,0.64,10.23,0.47,4.82,0.60
3.00,0.40,17.26,0.23,4.01,0.00
4.00,0.16,6.42,0.16,1.00,0.20
5.00,0.14,3.81,0.42,1.61,0.20
6.00,0.26,1.40,0.43,0.60,0.00
7.00,1.22,3.61,0.22,0.80,0.00
8.00,0.95,4.82,0.50,2.41,0.40
9.00,0.39,23.08,0.22,5.02,0.20
10.00,0.12,18.06,0.10,1.81,0.60
11.00,0.13,3.61,0.11,0.40,0.40
12.00,0.45,2.41,0.25,0.60,0.40
13.00,0.61,4.62,0.91,4.21,0.20
14.00,1.14,9.43,0.38,3.61,0.40
15.00,0.63,25.28,0.23,5.82,0.40
16.00,0.13,14.05,0.14,2.01,0.00
17.00,0.40,7.63,0.26,2.01,0.80
18.00,0.73,7.02,0.57,4.01,0.20
19.00,0.44,27.69,0.15,4.21,0.80
20.00,0.35,21.07,0.11,2.41,0.00
21.00,0.24,20.47,0.06,1.20,0.60
22.00,0.46,22.07,0.25,5.62,0.20
23.00,1.03,16.86,0.38,6.42,0.40
24.00,0.49,24.28,0.10,2.41,0.40
25.00,0.31,14.65,0.14,2.01,0.40
26.00,0.66,6.82,0.44,3.01,0.40
27.00,0.77,10.43,0.50,5.22,0.40
28.00,0.56,27.29,0.11,3.01,0.40
29.00,0.18,39.73,0.09,3.61,0.80
30.00,0.22,21.67,0.07,1.61,1.00
31.00,0.46,7.22,0.75,5.42,0.40
32.00,0.74,10.03,0.30,3.01,0.60
33.00,0.66,15.05,0.20,3.01,0.20
34.00,0.56,7.63,0.24,1.81,0.40
35.00,0.76,22.07,0.36,8.03,0.40
36.00,0.43,24.88,0.15,3.61,0.20
37.00,0.48,23.48,0.22,5.22,0.60
38.00,0.75,13.44,0.25,3.41,0.20
39.00,0.45,16.66,0.06,1.00,0.20
40.00,0.36,10.23,0.24,2.41,0.60
41.00,0.55,5.82,0.52,3.01,0.00
42.00,0.85,12.24,0.80,9.83,0.00
43.00,0.64,40.33,0.28,11.24,0.20
44.00,0.45,48.96,0.16,7.63,0.60
45.00,0.50,21.47,0.07,1.40,0.40
46.00,0.61,14.05,0.29,4.01,0.40
47.00,0.57,12.44,0.34,4.21,0.60
48.00,0.50,12.04,0.20,2.41,0.00
49.00,0.66,10.64,0.53,5.62,0.40
50.00,0.79,13.65,0.21,2.81,0.00
51.00,0.90,24.68,0.41,10.03,0.60
52.00,0.49,20.47,0.09,1.81,0.80
53.00,0.57,16.25,0.25,4.01,0.80
54.00,0.69,15.25,0.32,4.82,0.40
55.00,0.63,19.47,0.36,7.02,0.80
56.00,1.05,38.93,0.45,17.46,0.40
57.00,0.43,32.91,0.09,3.01,0.80
58.00,0.44,19.67,0.13,2.61,0.40
59.00,0.51,26.49,0.28,7.42,0.60
60.00,0.60,16.86,0.30,5.02,0.80
61.00,0.42,10.64,0.11,1.20,0.40
62.00,0.44,24.68,0.27,6.62,0.80
63.00,0.53,20.87,0.37,7.63,0.40
64.00,0.83,32.31,0.32,10.43,0.60
65.00,0.60,36.32,0.18,6.62,0.00
66.00,0.25,21.67,0.04,0.80,0.60
67.00,0.28,7.83,0.10,0.80,1.00
68.00,0.35,3.21,0.25,0.80,0.80
69.00,0.65,11.84,0.39,4.62,0.60
70.00,0.80,10.64,0.26,2.81,0.20
71.00,0.69,31.10,0.26,8.23,0.00
72.00,0.98,32.11,0.42,13.65,0.20
73.00,0.95,42.54,0.59,25.28,2.61
74.00,0.29,28.29,0.02,0.60,1.40
75.00,0.26,8.03,0.03,0.20,1.20
