time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
0.00,8.21,3.41,0.00,0.00,1.00,160.00
0.97,6.39,2.41,0.17,0.40,0.60,160.00
2.08,5.88,3.81,0.37,1.40,0.00,160.00
2.97,7.99,8.03,0.50,4.01,1.40,160.00
4.00,6.02,13.65,0.81,11.04,4.82,160.00
4.96,1.17,42.74,0.99,42.14,19.87,160.00
5.96,0.11,104.55,0.10,10.03,3.41,160.00
7.03,0.14,55.99,0.06,3.21,9.63,160.00
8.11,0.13,23.48,0.16,3.81,5.42,160.00
9.22,0.16,12.44,0.19,2.41,3.01,160.00
10.09,0.35,12.84,0.34,4.41,0.40,160.00
10.90,1.15,9.83,1.14,11.24,2.61,160.00
11.95,2.17,58.80,0.45,26.29,9.63,160.00
12.92,0.95,30.70,0.78,24.08,3.81,160.00
13.94,0.32,79.26,0.20,16.05,2.81,160.00
14.93,0.24,56.99,0.04,2.21,3.21,160.00
16.06,0.31,28.70,0.65,18.66,7.22,160.00
17.14,0.42,18.26,0.57,10.43,3.81,160.00
18.08,0.21,25.89,0.07,1.81,6.82,160.00
18.89,0.28,13.04,0.66,8.63,6.62,160.00
20.04,0.16,19.26,0.65,12.44,4.21,160.00
20.96,0.14,25.28,0.51,12.84,4.41,160.00
21.98,0.91,26.09,0.55,14.45,1.81,160.00
22.96,0.77,61.00,0.40,24.48,2.61,160.00
24.02,0.35,57.59,0.30,17.06,3.01,160.00
24.99,0.23,51.97,0.12,6.42,3.21,160.00
26.03,0.33,31.91,0.42,13.24,3.81,160.00
26.98,0.19,31.71,0.24,7.63,1.00,160.00
27.93,0.46,23.08,0.43,9.83,1.61,160.00
28.96,0.29,32.31,0.35,11.44,3.01,160.00
30.25,0.26,37.93,0.14,5.22,1.61,160.00
31.10,0.30,21.07,0.30,6.42,1.61,160.00
31.92,0.75,28.29,0.65,18.26,2.01,160.00
32.93,0.75,44.95,0.56,25.08,4.21,160.00
34.03,0.21,68.43,0.15,10.03,3.61,160.00
34.95,0.19,41.54,0.07,2.81,10.23,160.00
35.92,0.28,32.31,0.17,5.42,4.21,160.00
37.14,0.36,17.86,0.20,3.61,4.82,160.00
37.85,0.44,9.63,0.96,9.23,1.61,160.00
38.97,0.45,15.45,0.51,7.83,2.01,160.00
39.93,1.53,16.45,0.23,3.81,1.81,160.00
40.94,1.38,18.46,0.32,5.82,2.41,160.00
41.92,0.77,83.28,0.50,41.74,3.01,160.00
42.97,0.08,87.29,0.13,11.64,6.22,160.00
44.02,0.15,67.63,0.05,3.61,8.83,160.00
45.02,0.13,15.05,0.03,0.40,9.63,160.00
45.98,0.87,2.41,0.33,0.80,1.40,160.00
47.01,2.04,4.41,0.59,2.61,2.21,160.00
47.94,2.05,5.62,0.46,2.61,0.60,160.00
48.92,2.28,9.83,0.51,5.02,1.81,160.00
49.98,2.44,13.85,0.46,6.42,1.00,160.00
50.99,1.46,25.08,0.51,12.84,1.61,160.00
51.87,0.66,27.89,0.40,11.04,1.40,160.00
52.93,0.87,52.98,0.57,30.10,2.81,160.00
53.97,2.40,84.08,0.62,52.17,3.81,160.00
54.92,2.37,93.31,0.25,23.08,8.03,160.00
55.94,2.44,72.84,0.08,6.02,11.84,160.00
56.96,2.26,35.12,0.15,5.42,15.85,160.00
58.13,1.67,14.65,0.10,1.40,3.01,160.00
58.84,1.55,9.43,0.38,3.61,1.00,160.00
59.95,1.39,14.45,0.17,2.41,2.01,160.00
61.03,3.93,19.87,0.67,13.24,2.01,160.00
61.97,4.00,39.73,0.54,21.27,0.80,160.00
62.97,5.56,88.50,0.28,25.08,1.61,160.00
63.97,3.08,86.69,0.11,9.83,7.63,160.00
64.95,1.39,62.81,0.05,3.41,5.62,160.00
66.00,1.61,25.08,0.04,1.00,6.42,160.00
66.90,2.00,8.43,0.45,3.81,3.21,160.00
67.94,5.28,19.87,0.19,3.81,0.40,160.00
68.97,5.17,30.50,0.43,13.24,3.01,160.00
69.98,4.38,97.53,0.46,44.75,2.01,160.00
70.95,1.83,122.41,0.17,21.27,3.01,160.00
72.18,2.77,81.87,0.04,3.41,9.63,160.00
73.19,2.92,23.08,0.00,0.00,13.85,160.00
73.93,2.76,4.01,0.35,1.40,3.61,160.00
74.94,2.33,5.02,0.40,2.01,0.60,160.00
75.97,4.57,9.43,0.57,5.42,2.01,160.00
77.06,2.90,30.30,0.68,20.47,2.21,160.00
78.01,3.25,74.85,0.42,31.71,2.01,160.00
78.96,1.44,102.34,0.29,30.10,3.81,160.00
80.05,4.40,73.65,0.03,2.41,8.63,160.00
80.95,5.35,34.11,0.06,2.21,9.63,160.00
81.92,2.55,22.48,0.29,6.62,5.02,160.00
82.97,1.80,20.07,0.21,4.21,3.21,160.00
84.06,3.42,24.68,0.87,21.47,4.01,160.00
84.93,3.14,72.64,0.67,48.56,4.01,160.00
85.97,1.41,120.20,0.08,9.83,4.41,160.00
87.25,5.35,43.55,0.13,5.62,19.67,160.00
87.92,2.53,19.67,0.10,2.01,12.84,160.00
88.96,5.71,4.41,0.18,0.80,1.61,160.00
89.97,3.78,22.88,0.72,16.45,1.00,160.00
90.90,3.05,34.31,0.71,24.28,4.82,160.00
91.97,4.54,86.49,0.48,41.14,2.01,160.00
93.05,6.46,96.12,0.04,3.41,3.01,160.00
94.01,5.88,40.54,0.25,10.03,5.22,160.00
94.93,6.34,17.26,0.00,0.00,2.81,160.00
96.01,2.80,13.85,1.10,15.25,3.61,160.00
